county_fips,median_hh_income,pct_bachelors_plus,pct_poverty
21159,37042,10.2,33.2
21161,52178,20.0,18.8
21163,74355,20.0,12.2
21165,45096,14.9,26.9
21167,64824,24.9,10.7
21169,51473,13.0,27.5
21171,51280,16.0,22.1
21173,56396,20.9,15.4
21175,47913,18.7,17.1
21177,51927,14.7,18.4
21179,69562,23.8,10.8
21181,59531,9.8,17.6
21183,57798,13.9,12.5
21185,122497,46.4,4.3
21187,61134,18.3,18.3
21189,22188,7.1,36.1
21191,64669,15.4,15.9
21193,42181,14.8,26.8
21195,44312,17.8,24.4
21197,40309,13.8,22.5
21199,51898,18.1,19.7
21201,51830,13.8,21.1
21203,48862,13.7,25.6
21205,54321,25.9,24.2
21207,44738,15.4,23.1
21209,85158,34.7,10.6
21211,82604,32.8,9.7
21213,59858,18.8,15.5
21215,102618,23.6,9.8
21217,60456,23.0,17.5
21219,61103,16.5,20.9
21221,59857,21.7,20.6
21223,66027,17.1,13.3
21225,60327,13.1,18.4
21227,65794,32.3,17.0
21229,61616,19.6,12.7
21231,45739,13.9,24.8
21233,59628,12.8,13.5
21235,44615,20.9,26.3
21237,30417,8.7,37.7
21239,83788,40.7,10.5
22001,45562,13.9,25.0
22003,46469,11.9,23.1
22005,91549,29.1,10.3
22007,51423,13.8,15.3
22009,39325,11.5,27.8
22011,65944,17.1,14.3
22013,35011,13.2,29.2
22015,69617,28.4,15.9
22017,50705,26.0,22.4
22019,67564,24.9,17.4
22021,47028,11.2,29.8
22023,75278,16.8,7.4
22025,50275,16.0,24.3
22027,32831,10.7,32.0
22029,39943,17.2,31.8
22031,48578,16.0,21.5
22033,63071,38.5,19.6
22035,33341,12.2,35.2
22037,73085,19.3,16.2
22039,41915,13.7,24.3
22041,47020,17.5,24.1
22043,64016,15.4,17.0
22045,56961,14.8,22.8
22047,54000,18.6,19.9
22049,44925,14.7,22.3
22051,65252,30.5,16.6
22053,57341,15.4,14.6
22055,67451,35.3,17.1
22057,63135,21.1,17.0
22059,68497,13.1,16.0
22061,39172,36.2,31.2
22063,80122,20.5,12.9
22065,35456,14.1,34.5
22067,39454,13.8,29.3
22069,46292,25.8,25.4
22071,56631,42.4,22.6
22073,54688,28.6,23.2
22075,86315,21.5,12.9
22077,65961,18.4,16.5
22079,54967,23.1,19.9
22081,49167,14.0,25.8
22083,53544,17.6,24.0
22085,50329,13.6,23.7
22087,58651,17.6,23.0
22089,80897,26.9,11.7
22091,41934,11.4,32.4
22093,65531,19.5,11.1
22095,66630,18.2,14.4
22097,44462,14.9,26.8
22099,55960,16.8,15.3
22101,52576,13.6,20.8
22103,81202,37.7,11.4
22105,56760,20.8,19.2
22107,36615,14.6,34.4
22109,64836,18.7,16.0
22111,42885,14.8,29.4
22113,55707,17.6,20.2
22115,57270,19.8,19.0
22117,45380,12.8,24.3
22119,41182,13.3,23.1
22121,87299,23.3,12.9
22123,49134,15.2,16.2
22125,77452,21.6,11.8
22127,48871,14.4,24.3
23001,67873,23.4,14.4
23003,56700,23.4,14.4
23005,95677,53.0,7.3
23007,58675,32.0,12.2
23009,72744,40.1,9.9
23011,69077,31.9,11.6
23013,74096,39.7,8.2
23015,76875,40.2,7.9
23017,60173,24.0,13.8
23019,66356,30.1,14.1
23021,61345,21.6,15.5
