leaid,district_name,fips_state,total_revenue,federal_revenue,state_local_revenue,state_abbr,saipe_district_name,total_pop,child_poverty_est,child_pop,pct_child_poverty
4831970,MUNDAY IND SCH DIST 903,48,7542,533,7009,TX,Munday Consolidated Independent School District,1697,76,348,21.84
4833030,NORTH ZULCH IND SCH DIST 903,48,6962,467,6495,TX,Rocksprings Independent School District,1163,62,189,32.80
4833030,NORTH ZULCH IND SCH DIST 903,48,6962,467,6495,TX,North Zulch Independent School District,1867,65,360,18.06
4821300,GRADY IND SCH DIST 905,48,15567,198,15369,TX,Spur Independent School District,1443,36,179,20.11
4821300,GRADY IND SCH DIST 905,48,15567,198,15369,TX,Grady Independent School District,544,21,153,13.73
4816950,DEVINE IND SCH DIST 901,48,26808,3668,23140,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4816950,DEVINE IND SCH DIST 901,48,26808,3668,23140,TX,Devine Independent School District,10709,309,1904,16.23
4830210,MENARD IND SCH DIST 901,48,5921,1759,4162,TX,Rocksprings Independent School District,1163,62,189,32.80
4830210,MENARD IND SCH DIST 901,48,5921,1759,4162,TX,Menard Independent School District,1860,80,256,31.25
4830570,MIDLAND IND SCH DIST 901,48,509120,44239,464881,TX,Rocksprings Independent School District,1163,62,189,32.80
4830570,MIDLAND IND SCH DIST 901,48,509120,44239,464881,TX,Midland Independent School District,172020,4780,35471,13.48
4812420,CALALLEN IND SCH DIST 903,48,60004,4851,55153,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4812420,CALALLEN IND SCH DIST 903,48,60004,4851,55153,TX,Chisum Independent School District,5206,142,1006,14.12
4812420,CALALLEN IND SCH DIST 903,48,60004,4851,55153,TX,Calallen Independent School District,21802,536,4162,12.88
4815300,CORRIGAN-CAMDEN IND SCH DIST 904,48,16087,2166,13921,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4815300,CORRIGAN-CAMDEN IND SCH DIST 904,48,16087,2166,13921,TX,Corrigan-Camden Independent School District,4795,202,856,23.60
4812810,CANYON IND SCH DIST 901,48,146978,7790,139188,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4812810,CANYON IND SCH DIST 901,48,146978,7790,139188,TX,Chisum Independent School District,5206,142,1006,14.12
4812810,CANYON IND SCH DIST 901,48,146978,7790,139188,TX,Canyon Independent School District,73165,1208,12894,9.37
4809060,AVERY IND SCH DIST 902,48,5888,600,5288,,,,,,
4809000,AUSTWELL TIVOLI IND SCH DIST 901,48,4601,586,4015,,,,,,
4813320,CENTER IND SCH DIST 901,48,35206,4268,30938,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4813320,CENTER IND SCH DIST 901,48,35206,4268,30938,TX,Center Independent School District,11518,600,2275,26.37
4810230,BIRDVILLE IND SCH DIST 902,48,370816,40493,330323,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4810230,BIRDVILLE IND SCH DIST 902,48,370816,40493,330323,TX,Hays Consolidated Independent School District,140758,2072,26867,7.71
4810230,BIRDVILLE IND SCH DIST 902,48,370816,40493,330323,TX,Birdville Independent School District,150644,3415,25587,13.35
4819700,FORT WORTH IND SCH DIST 905,48,1182781,189181,993600,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4819700,FORT WORTH IND SCH DIST 905,48,1182781,189181,993600,TX,Fort Worth Independent School District,549288,19961,94717,21.07
4824780,JIM NED IND SCH DIST 911,48,22283,1722,20561,TX,Spur Independent School District,1443,36,179,20.11
4824780,JIM NED IND SCH DIST 911,48,22283,1722,20561,TX,Jim Ned Consolidated Independent School District,7159,90,1542,5.84
4811610,BROWNFIELD IND SCH DIST 901,48,41384,4588,36796,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4811610,BROWNFIELD IND SCH DIST 901,48,41384,4588,36796,TX,Alvarado Independent School District,24692,509,4554,11.18
4811610,BROWNFIELD IND SCH DIST 901,48,41384,4588,36796,TX,Brownfield Independent School District,9961,573,1995,28.72
4845950,WILLS POINT IND SCH DIST 907,48,39431,5268,34163,TX,Wills Point Independent School District,18531,569,3278,17.36
4810500,BLOOMINGTON IND SCH DIST 901,48,15041,2333,12708,TX,Crosbyton Consolidated Independent School District,1914,136,347,39.19
4810500,BLOOMINGTON IND SCH DIST 901,48,15041,2333,12708,TX,Hays Consolidated Independent School District,140758,2072,26867,7.71
4810500,BLOOMINGTON IND SCH DIST 901,48,15041,2333,12708,TX,Bloomington Independent School District,3653,108,721,14.98
4824030,HUNTSVILLE IND SCH DIST 902,48,142399,15685,126714,TX,Spur Independent School District,1443,36,179,20.11
4824030,HUNTSVILLE IND SCH DIST 902,48,142399,15685,126714,TX,Huntsville Independent School District,77774,1737,7818,22.22
4844430,WALLER IND SCH DIST 904,48,169063,10988,158075,TX,Waller Independent School District,50970,1406,9056,15.53
4827420,LIBERTY HILL IND SCH DIST 908,48,150846,3233,147613,TX,Spur Independent School District,1443,36,179,20.11
4827420,LIBERTY HILL IND SCH DIST 908,48,150846,3233,147613,TX,Liberty Hill Independent School District,31457,207,6548,3.16
4838040,ROTAN IND SCH DIST 904,48,6667,324,6343,TX,Rocksprings Independent School District,1163,62,189,32.80
