destinationtable,rcdts,level,school_name,district,city,county,district_type,school_type,grades_served,percent_of_kindergartners_rated_on_14_required_measures,percent_of_kindergartners_demonstrating_readiness_in_zero_devel,percent_of_kindergartners_demonstrating_readiness_in_one_develo,percent_of_kindergartners_demonstrating_readiness_in_two_develo,percent_of_kindergartners_demonstrating_readiness_in_all_three_,percent_of_kindergartners_demonstrating_readiness_in_all_thre_1,percent_of_kindergartners_demonstrating_readiness_in_all_thre_2,percent_of_kindergartners_demonstrating_readiness_in_all_thre_3,percent_of_kindergartners_demonstrating_readiness_in_all_thre_4,percent_of_kindergartners_demonstrating_readiness_in_all_thre_5,percent_of_kindergartners_demonstrating_readiness_in_all_thre_6,percent_of_kindergartners_demonstrating_readiness_in_all_thre_7,percent_of_kindergartners_demonstrating_readiness_in_all_thre_8,percent_of_kindergartners_demonstrating_readiness_in_all_thre_9,percent_of_kindergartners_demonstrating_readiness_in_all_thr_10,percent_of_kindergartners_demonstrating_readiness_in_all_thr_11,percent_of_kindergartners_demonstrating_readiness_in_all_thr_12,percent_of_kindergartners_demonstrating_readiness_in_all_thr_13,percent_of_kindergartners_demonstrating_readiness_in_all_thr_14,percent_of_kindergartners_demonstrating_readiness_in_all_thr_15,percent_of_kindergartners_demonstrating_readiness_in_all_thr_16,percent_of_kindergartners_demonstrating_readiness_in_social_and,percent_of_kindergartners_demonstrating_readiness_in_language_a,percent_of_kindergartners_demonstrating_readiness_in_math
KIDS1,17-064-0030-26-2001,School,Tri-Valley Elem School,Tri Valley CUSD 3,Downs,McLean,Unit District,Elementary School,PK - 3,100,16.9,,29.2,44.6,43.1,,*,,,,*,,41.4,47.2,,*,*,,*,,58.5,73.8,69.2
KIDS1,17-064-0030-26-0002,School,Tri-Valley High School,Tri Valley CUSD 3,Downs,McLean,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,17-064-0030-26-1001,School,Tri-Valley Middle School,Tri Valley CUSD 3,Downs,McLean,Unit District,Middle/Junior High School,4 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,41-057-0020-26-2008,School,C A Henning School,Triad CUSD 2,Troy,Madison,Unit District,Elementary School,PK - 5,100,26.3,15.8,19.7,38.2,37.9,*,*,,,,*,,50,27.5,,*,*,,*,,67.1,56.6,46.1
KIDS1,41-057-0020-26-2003,School,Marine Elem School,Triad CUSD 2,Marine,Madison,Unit District,Elementary School,K - 5,100,,,,95.5,95,,*,,,,,*,,100,,*,*,,*,,100,100,95.5
KIDS1,41-057-0020-26-2004,School,Silver Creek Elementary,Triad CUSD 2,Troy,Madison,Unit District,Elementary School,PK - 5,100,15.8,9.9,15.8,58.4,64.7,*,*,*,,,*,,71.4,46.2,,*,*,,*,*,75.2,75.2,66.3
KIDS1,41-057-0020-26-2005,School,St Jacob Elem School,Triad CUSD 2,Saint Jacob,Madison,Unit District,Elementary School,PK - 5,97.1,,,,79.4,77.4,,*,*,,,,,,95.2,,*,*,,*,,88.2,79.4,91.2
KIDS1,41-057-0020-26-0001,School,Triad High School,Triad CUSD 2,Troy,Madison,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,41-057-0020-26-1008,School,Triad Middle School,Triad CUSD 2,Saint Jacob,Madison,Unit District,Middle/Junior High School,6 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,30-039-1760-26-2008,School,Trico Elementary School,Trico CUSD 176,Campbell Hill,Jackson,Unit District,Elementary School,PK - 5,95.2,26.7,16.7,16.7,40,50,*,*,,,,*,,40,40,,*,*,*,29.3,*,70,56.7,43.3
KIDS1,30-039-1760-26-1001,School,Trico Jr High School,Trico CUSD 176,Campbell Hill,Jackson,Unit District,Middle/Junior High School,6 - 8,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,30-039-1760-26-0001,School,Trico Senior High School,Trico CUSD 176,Campbell Hill,Jackson,Unit District,High School,9 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,01-069-0270-26-2002,School,Triopia Grade School,Triopia CUSD 27,Concord,Morgan,Unit District,Elementary School,PK - 6,95.2,,,,70,70,,,,,,,,,,,*,*,,*,,80,75,70
KIDS1,01-069-0270-26-0001,School,Triopia Jr-Sr High School,Triopia CUSD 27,Concord,Morgan,Unit District,High School,7 - 12,,,,,,,,,,,,,,,,,,,,,,,,
KIDS1,56-099-030C-04-2006,School,Orenic Intermediate School,Troy CCSD 30C,Plainfield,Will,Elementary District,Elementary School,5 - 6,,,,,,,,,,,,,,,,,,,,,,,,
