ceeb,school_name,state,latitude,longitude,us_region,is_school_match,is_public_hs,is_private_hs,sector,has_nu_analytics,has_nu_data,crime_risk_need,crime_risk_adv,educational_attainment_need,educational_attainment_adv,family_stability_need,family_stability_adv,housing_stability_need,housing_stability_adv,median_family_income_need,median_family_income_adv,socio_need_index,ap_offered,ap_tests_taken,ap_participation,ap_intensity_src,ap_score_nu,ap_pct_students_nu,ap_tests_offered,ap_take_rate,dual_enrollment_offered,dual_enrollment_rate,testtaker_rate,sat_participation_nu,sat_score_nu,act_composite_il,grad_rate_2021,frl_rate,enrollment_9_12,grade_9,grade_10,grade_11,grade_12,child_poverty_saipe,per_pupil_state_local,leaid,district_total_revenue,per_resident_child_funding_total,per_resident_child_funding_state_local,funding_source,percent_going_to_college_mid,percent_going_to_4yr_college_mid,percent_federal_lunch_aid_mid,percent_first_gen_college_mid,number_of_ap_classes_offered_mid,size_of_senior_class_mid,ap_capstone,setting,ib_flag_candidate,ib_programme_count,meets_min_size,crdc_ib_enrollment,ib_flag_v2,ib_flag_v2_source,rigor_score,rigor_tier_num,rigor_tier_label,rigor_n_components_used,rigor_components_available,rigor_weighting_scheme,rigor_tier_method,rigor_tier_num_quantile,rigor_tier_label_quantile,funding_tier,sat_percentile_by_us_region,sat_percentile_by_funding_tier,sat_percentile_by_rigor_tier_label
440287,Austin Christian Academy,,30.1927719116211,-97.8159408569336,US - South,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,,0,,0,,True,,,,,,,0,none,designed,natural,,,,,,
440288,AUBREY H S,TX,33.292,-96.9879,US - South,True,True,False,public,True,True,32.0,68.0,20.0,80.0,65.0,35.0,25.0,75.0,28.0,72.0,34.0,1,1.86,0.1920704845814978,nu_tests_taken,2.07,35.0,13.0,0.143076923076923,1,0.0757709251101321,0.1400881057268722,50.0,1110.0,,97.5,31.18942731277533,1135.0,329.0,318.0,259.0,229.0,6.4,,4808910.0,72737000.0,23577.633711507293,22984.76499189627,census_f33_per_resident_child_proxy,82.5,,,,,50.0,0,Rural area,0,,True,,0.0,crdc_2122,-0.6172818284495338,1.0,Average,5,ap_opportunity+ap_performance+crdc_coursework+test_participation+test_performance,designed,natural,0.0,Below Average,Q4 (highest funding),34.824957651044606,22.36768802228412,41.21951219512195
440290,ALTERNATIVE LEARNING CENTER,TX,30.2687797546387,-97.7099456787109,US - South,True,True,False,public,False,True,,,,,,,,,,,,0,,,none,,,,,0,,0.0,,,,,79.64601769911505,82.0,26.0,23.0,20.0,13.0,13.0,,4808940.0,1299602000.0,14432.805819312563,12636.215225720473,census_f33_per_resident_child_proxy,,,,,,,0,11-City: Large,0,,True,,0.0,crdc_2122,-1.3241475550941832,0.0,Below Average,1,test_participation,designed,natural,0.0,Below Average,Q2 (mid funding),,,
440292,Summit Christian Academy,,30.47532081604,-97.8420791625977,US - South,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,82.5,,,,,50.0,0,Large city,0,,True,,,,,,,0,none,designed,natural,,,,,,
440294,ANDERSON H S,TX,30.4036,-97.7526,US - South,True,True,False,public,True,True,81.0,19.0,7.0,93.0,19.0,81.0,70.0,30.0,11.0,89.0,37.6,1,3.94,0.3549257759784076,nu_tests_taken,3.19,62.0,29.0,0.1358620689655172,1,0.1430499325236167,0.0539811066126855,86.0,1200.0,,98.0,25.730994152046783,2223.0,592.0,537.0,559.0,535.0,13.0,,4808940.0,1299602000.0,14432.805819312563,12636.215225720473,census_f33_per_resident_child_proxy,38.0,54.5,,,25.0,750.5,0,Suburban community,0,,True,239.0,1.0,crdc_2122,0.5081069209593756,3.0,Very Demanding,5,ap_opportunity+ap_performance+crdc_coursework+test_participation+test_performance,designed,natural,4.0,Most Demanding,Q2 (mid funding),86.68831168831169,95.77681874229347,41.062562065541215
440295,Regents School Of Austin,,30.2555141448975,-97.846809387207,US - South,False,False,True,private,True,True,47.0,53.0,3.0,97.0,4.0,96.0,44.0,56.0,5.0,95.0,20.6,1,3.29,,nu_tests_taken,3.05,62.0,20.0,0.1645,0,,,91.0,1250.0,,,,,,,,,,,,,,,none,,95.0,,,4.0,50.0,0,Suburban community,0,,True,,,,0.5274361703476066,3.0,Very Demanding,4,ap_opportunity+ap_performance+test_participation+test_performance,designed,natural,4.0,Most Demanding,,95.31338226990401,,73.31181727904668
440298,CROCKETT EARLY COLLEGE H S,TX,30.2063,-97.7956,US - South,True,True,False,public,True,True,81.0,19.0,24.0,76.0,37.0,63.0,79.0,21.0,42.0,58.0,52.6,1,1.59,0.2393721386527142,nu_tests_taken,1.85,26.0,15.0,0.106,1,0.2315238718116416,0.0052321778940483,68.0,1160.0,,97.0,65.46762589928058,1529.0,401.0,395.0,403.0,330.0,13.0,,4808940.0,1299602000.0,14432.805819312563,12636.215225720473,census_f33_per_resident_child_proxy,38.0,,,,,300.5,0,Large city,0,,True,,0.0,crdc_2122,-0.5155769287749394,1.0,Average,5,ap_opportunity+ap_performance+crdc_coursework+test_participation+test_performance,designed,natural,1.0,Average,Q2 (mid funding),68.83116883116884,74.8150431565968,87.93324775353017
440299,Christ Community Chrstn School,,30.1743,-97.8225,US - South,False,False,True,private,False,True,,,,,,,,,,,,0,,,none,,,,,0,,,,,,,,,,,,,,,,,,,none,,,,,,50.0,0,Large city,0,,True,,,,,,,0,none,designed,natural,,,,,,
440300,MCCALLUM H S,TX,30.3223,-97.739,US - South,True,True,False,public,True,True,92.0,8.0,8.0,92.0,23.0,77.0,76.0,24.0,12.0,88.0,42.2,1,4.82,0.3684765419082762,nu_tests_taken,3.25,63.0,29.0,0.1662068965517241,1,0.0458618871903004,0.055350553505535,88.0,1180.0,,98.0,23.036373220875067,1897.0,501.0,513.0,466.0,417.0,13.0,,4808940.0,1299602000.0,14432.805819312563,12636.215225720473,census_f33_per_resident_child_proxy,38.0,44.5,34.5,,25.0,300.5,0,Large city,0,,True,,0.0,crdc_2122,0.5076254024916823,2.0,Demanding,5,ap_opportunity+ap_performance+crdc_coursework+test_participation+test_performance,designed,natural,4.0,Most Demanding,Q2 (mid funding),79.29136081309994,88.68680641183724,76.15456022278951
440301,NORTHEAST EARLY COLLEGE H S,TX,30.3316,-97.7004,US - South,True,True,False,public,False,True,,,,,,,,,,,,1,,0.1460905349794238,crdc_participation,,,,,1,0.125514403292181,0.0030864197530864,,,,97.0,91.8724279835391,972.0,258.0,260.0,245.0,209.0,13.0,,4808940.0,1299602000.0,14432.805819312563,12636.215225720473,census_f33_per_resident_child_proxy,38.0,,,,,300.5,0,Large city,0,,True,,0.0,crdc_2122,-0.7140473427475689,1.0,Average,2,crdc_coursework+test_participation,designed,natural,0.0,Below Average,Q2 (mid funding),,,
