ceeb,school_name,state,sector,rigor_score_default,rigor_tier_default,rigor_score_scenarioA,rigor_tier_scenarioA,ib_intensity_v2
053329,Piner High,CA,public,-0.9843093361151679,Below Average,-0.8064978200774445,Below Average,0.0
053330,Santa Rosa High,CA,public,-0.06108681558653073,Demanding,-0.01672370321651495,Demanding,0.0
053333,Ridgway High (Continuation),CA,public,-1.324147555094183,Below Average,-0.644538126613877,Below Average,0.0
053334,Covenant Christian School,,private,,,,,
053335,Ursuline HS,,private,,,,,
053336,Saugus High,CA,public,0.18434539164422875,Demanding,0.17811803203155996,Demanding,0.0
053338,Valley Christian High School,,private,1.2327221928414005,Very Demanding,1.2327221928414005,Very Demanding,
053339,Chaparral High,CA,public,-1.324147555094183,Below Average,-0.644538126613877,Below Average,0.0
053340,Santa Ynez Valley Union High,CA,public,0.4273210126889514,Demanding,0.38273393508935694,Demanding,0.0
053341,Canyon High,CA,public,-0.01580981235193219,Demanding,-0.018919536340560032,Demanding,0.0
053342,Santana High,CA,public,0.16651845169392424,Demanding,0.12375359879108558,Demanding,0.0
053343,Saratoga High,CA,public,1.5928918175204547,Most Demanding,1.532628108121108,Very Demanding,0.0
053344,Prospect High,CA,public,0.320102080217852,Demanding,0.31747538242957385,Demanding,0.0
053345,Analy High,CA,public,0.21873529774852649,Demanding,0.17876805650848349,Demanding,0.0
053348,None Such School,,private,,,,,
053349,Summerfield Waldorf School,,private,0.7228029316276638,Very Demanding,0.7228029316276638,Very Demanding,
053350,Selma High,CA,public,-0.8890558856695642,Below Average,-0.7667970061417205,Below Average,0.0
053352,Grace Fellowship Christian Sch,,private,,,,,
053353,Valley High Sch & Lrng Ctr Inc,,private,,,,,
053356,Help Groups North Hills Prep,,private,,,,,
053358,Heritage Christian School,,private,-0.3182835041784316,Average,-0.3182835041784316,Average,
053359,Victory Christian Academy,,private,,,,,
053360,Shafter High,CA,public,-0.6696587346346237,Average,-0.6577311783695249,Below Average,0.0
053361,Learning Post Academy (Alternative),CA,public,0.03622483295142426,Demanding,0.05168695203061133,Demanding,0.0
053363,Laguna High,CA,public,-1.324147555094183,Below Average,-0.644538126613877,Below Average,0.0
053364,Bible Missionary Flwsp Chr Sch,,private,,,,,
053365,Shandon High,CA,public,-0.714190795615227,Average,-0.679364461114552,Below Average,0.0
053366,Albert Einstein Continuation,CA,public,-0.3562311951480785,Average,-0.38672709302427954,Average,0.0
053370,NOTRE DAME HIGH SCHOOL,CA,private,0.40769585660908303,Demanding,0.299190474236537,Demanding,0.0
053372,Santa Susana High,CA,public,0.18559226397122172,Demanding,0.1537943184959574,Demanding,0.0
053373,Ponderosa High,CA,public,-0.006685109939489278,Demanding,0.003212776243331753,Demanding,0.0
053377,Apollo High,CA,public,-1.2488063642800844,Below Average,-0.612249044836406,Below Average,0.0
053378,Alverno High School,,private,,,,,
053379,Royal High,CA,public,-0.0004155958536241344,Demanding,0.1342570875953531,Demanding,0.1335149863760218
053380,Simi Valley High,CA,public,0.042636141330328926,Demanding,0.032648174989122654,Demanding,0.0
053381,West Hills High,CA,public,0.06571626257137259,Demanding,0.03158681113558856,Demanding,0.0
053383,Grace Brethren High School,,private,0.4149197767592906,Demanding,0.4149197767592906,Demanding,
053384,New Horizon Sch & Learning Ctr,,private,,,,,
053386,Maria Carrillo High,CA,public,0.44215740995124236,Demanding,0.40677462054375485,Demanding,0.0
053387,Foundation Missionary Bapt Sch,,private,,,,,
053388,Soledad Christian Academy,,private,,,,,
053389,Educational Directions School,,private,,,,,
053390,Sonoma Valley High,CA,public,-0.14905718266485832,Average,-0.17860140632512225,Average,0.0
053391,Fair Havens Christian School,,private,,,,,
053395,Sonora High,CA,public,-0.31841982198531726,Average,-0.29297034454411486,Average,0.0
053396,Beach High School,,private,,,,,
053398,Soquel High,CA,public,-0.09101600589678677,Demanding,-0.08803691391805338,Average,0.0
053400,South Gate Senior High,CA,public,-0.4063188385622497,Average,-0.3975266099100063,Average,0.0
053403,Sonoma Valley Academy,,private,,,,,
053404,South El Monte High,CA,public,-0.9360384656526902,Below Average,-0.97776666562741,Below Average,0.0
053406,Selma Christian Academy,,private,,,,,
053407,Christian Heritage School,,private,,,,,
053408,Free Will Christian Academy,,private,,,,,
053409,Faith Christian Academy,,private,,,,,
053410,South Pasadena Senior High,CA,public,0.8225857910883796,Very Demanding,0.7940891230299019,Very Demanding,0.0
053411,Soloquest Schl & Learning Ctr,,private,,,,,
053412,Oliver Christian School Center,,private,,,,,
053413,El Camino High,CA,public,-0.33882205612497673,Average,-0.33880437865709756,Average,0.0
053415,South San Francisco High,CA,public,-0.4287829370172581,Average,-0.4289329522391539,Average,0.0
053416,Monte Vista High,CA,public,-0.2867097543372447,Average,-0.30179667871827587,Average,0.0
053417,Mount Miguel High,CA,public,-0.7845132540661468,Below Average,-0.7229662972031503,Below Average,0.0
053420,Edison High,CA,public,-0.9213895191728525,Below Average,-0.7640778263890114,Below Average,0.0
053425,Franklin High,CA,public,-0.8873975108699274,Below Average,0.4502229774912365,Demanding,0.1656686626746507
053426,Karl Holton School,,private,,,,,
053429,Orange County Christian Sch,,private,-0.1360147520371383,Average,-0.1360147520371383,Average,
053430,Lincoln High,CA,public,-0.2249944075213212,Average,-0.19991464893872174,Average,0.0
053431,Brookside Christian HS,,private,,,,,
053435,ST MARYS HIGH SCHOOL,CA,private,0.20133331653394096,Demanding,0.13410044217642333,Demanding,0.0
053436,Bear Creek High,CA,public,-0.3029156605986221,Average,-0.2589827261301045,Average,0.0
053442,Stagg Senior High,CA,public,-0.7480666305371377,Below Average,-0.6963023785755074,Below Average,0.0
053443,Life Training Academy,,private,,,,,
053444,Stockton Christian School,,private,,,,,
053446,Village Oaks High,CA,public,-1.324147555094183,Below Average,-0.644538126613877,Below Average,0.0
053447,Samuel Hancock School,,private,,,,,
053448,Stockton Baptist School,,private,,,,,
053450,Strathmore High,CA,public,-1.1865638202868038,Below Average,-0.9155509734503403,Below Average,0.0
053451,Brighton Hall School,,private,0.7697334341296121,Very Demanding,0.7697334341296121,Very Demanding,
053453,Kings Chapel Christian Academy,,private,,,,,
053454,March Mountain High,CA,public,-1.324147555094183,Below Average,-0.644538126613877,Below Average,0.0
053458,Fusion Academy Pleasanton,,private,,,,,
053459,Moreno Valley High,CA,public,-0.7656600654762727,Below Average,-0.739771826615505,Below Average,0.0
053460,Fremont High,CA,public,0.33373410044282686,Demanding,0.34560524580416063,Demanding,0.0
053462,Homestead High,CA,public,0.9415451769844237,Very Demanding,0.9135157657574161,Very Demanding,0.0
053463,Lynbrook High,CA,public,1.4256664796126357,Very Demanding,1.3627976239681403,Very Demanding,0.0
053466,Monta Vista High,CA,public,1.411316822483044,Very Demanding,1.338656317445543,Very Demanding,0.0
053467,John H. Francis Polytechnic,CA,public,-0.24020564144930995,Average,-0.23847624526192965,Average,0.0
053468,VILLAGE CHRISTIAN SCHOOL,CA,private,0.5140811085976591,Very Demanding,0.3842986758273979,Demanding,0.0
053470,Lassen High,CA,public,-0.4805621349973881,Average,-0.4419711977181051,Average,0.0
053475,Sutter Union High,CA,public,-0.2950496720015124,Average,-0.28036741399356874,Average,0.0
053480,Amador High,CA,public,-0.8024356335078033,Below Average,-0.7390226030933389,Below Average,0.0
053481,Cornerstone Christian School,,private,,,,,
053482,Silicon Valley Intrntnl School,,private,1.8580184283259729,Most Demanding,1.8580184283259729,Most Demanding,
053483,Developing Virtue Sec School,,private,1.912913786907017,Most Demanding,1.912913786907017,Most Demanding,
053485,Taft Union High,CA,public,-0.6957534337692701,Average,-0.6421272523215448,Below Average,0.0
