ncessch,school_name,city,state,zip,school_level,total_students,frl_students,pupil_teacher_ratio,rcdts,summative_designation,title_i_status,isbe_enrollment,district_total_revenue,district_federal_revenue,state_child_poverty_est,state_child_pop
1706802,Technology Center of DuPage,Addison,IL ,60101,High,0,,0,,,,,,,267982,2037081
1702344,T E Culbertson Elem School,Joliet,IL ,60433,Elementary,377,348,24.32,56-099-0860-05-2001,Commendable,Title 1 Schoolwide,174,,,267982,2037081
1701691,Tefft Middle School,Streamwood,IL ,60107,Middle,606,389,9.67,31-045-0460-22-1008,Targeted,Title 1 Schoolwide,814,,,267982,2037081
1701613,Telpochcalli Elem School,Chicago,IL ,60623,Elementary,209,182,8.89,15-016-2990-25-2901,Targeted,Title 1 Schoolwide,209,,,267982,2037081
1701470,Terrace Elem School,Des Plaines,IL ,60016,Elementary,206,82,7.1,05-016-0620-04-2012,Commendable,Title 1 Schoolwide,224,,,267982,2037081
1706204,Terrace School-D/HH EC Program,Des Plaines,IL ,60016,Not Reported,,,,,,,,,,267982,2037081
1703943,Teutopolis Grade School,Teutopolis,IL ,62467,Elementary,620,62,14.55,03-025-0500-26-2002,Commendable,Title 1 Targeted,619,,,267982,2037081
1703944,Teutopolis High School,Teutopolis,IL ,62467,High,339,33,15.13,03-025-0500-26-0001,Exemplary,Title 1 Eligible but Not Served,336,,,267982,2037081
1701890,Teutopolis Junior High School,Teutopolis,IL ,62467,Middle,166,24,15.96,03-025-0500-26-1001,Commendable,Title 1 Eligible but Not Served,166,,,267982,2037081
1704170,Thayer J Hill Middle School,Naperville,IL ,60563,Middle,828,209,14.11,19-022-2040-26-1001,Commendable,Title 1 Eligible but Not Served,813,,,267982,2037081
1700116,The Academy at Forest View,Arlington Heights,IL ,60005,High,0,,0,,,,,,,267982,2037081
1706316,The District 54 Early Lrning Ctr,Schaumburg,IL ,60194,Prekindergarten,480,,12.31,,,,,,,267982,2037081
1706828,The Earlville Early Learning Ctr,Earlville,IL ,60518,Prekindergarten,55,,55,,,,,,,267982,2037081
1706786,The Early Learning Center,Mt Prospect,IL ,60056,Prekindergarten,270,,19.11,05-016-0590-04-3002,,Title 1 Ineligible Due to Ranking,268,,,267982,2037081
1704190,The Early Years,Jacksonville,IL ,62650,Prekindergarten,247,184,27.44,01-069-1170-22-3012,,Title 1 Ineligible Due to Ranking,225,,,267982,2037081
1703283,The Elise Ford Allen Academy,Peoria,IL ,61605,Elementary,642,623,15.52,48-072-1500-25-2028,Targeted,Title 1 Schoolwide,571,,,267982,2037081
1702378,The Joseph Sears School,Kenilworth,IL ,60043,Elementary,471,,8.89,05-016-0380-02-2001,Exemplary,Title 1 Targeted,470,,,267982,2037081
1703204,The Lafayette Academy,Jacksonville,IL ,62650,High,0,,0,,,,,,,267982,2037081
1702220,The Lane Elem School,Hinsdale,IL ,60521,Elementary,345,,12.33,19-022-1810-04-2008,Exemplary,Title 1 Eligible but Not Served,343,,,267982,2037081
1703215,Theodore Roosevelt Elem School,Park Ridge,IL ,60068,Elementary,677,,11.86,05-016-0640-04-2011,Commendable,Title 1 Ineligible Due to Ranking,676,,,267982,2037081
1702469,The Skokie School,Winnetka,IL ,60093,Middle,362,,8.96,05-016-0360-02-2004,Commendable,Title 1 Targeted,354,,,267982,2037081
1704384,The Wheatlands Elementary School,Aurora,IL ,60503,Elementary,613,182,14.6,24-047-3080-26-2007,Commendable,Title 1 Ineligible Due to Ranking,601,,,267982,2037081
1703945,Thomasboro Grade School,Thomasboro,IL ,61878,Elementary,148,100,10.57,09-010-1300-04-2001,Commendable,Title 1 Schoolwide,159,,,267982,2037081
1703656,Thomas Dooley Elem School,Schaumburg,IL ,60193,Elementary,437,,10.93,05-016-0540-04-2009,Exemplary,Title 1 Ineligible Due to Ranking,436,,,267982,2037081
