school_id,school_name,address,city,state,zip,county,sector,charter,total_enrollment,enrollment_9_12,grad_rate_2021,crdc_ap_courses,ib_flag_v2,crdc_fte_counselors,county_median_hh_income,county_pct_child_poverty_saipe,nces_id_12,ceeb,rigor_tier_v4,audit_note
3906151,RAM Nation Virtual Academy,3594 N Snyder Rd,Trotwood,OH,45426,Montgomery County,public,2-No,53,42,,,0.0,0,66139,18.8,390486906151,365143,Average,
A1992056,GK CHESTERTON ACADEMY OF THE WILLAMETTE VALLEY,900 S MAIN ST,MOUNT ANGEL,OR,97362,MARION,private,,53,53,,,0.0,,77351,13,,,,
3101419,CREEK VALLEY HIGH SCHOOL,3RD & WASHINGTON,CHAPPELL,NE,69129,Deuel County,public,†,53,53,90,,0.0,1,70096,19,310014001419,280476,Average,
0614477,Open Door Charter,901 Blanco Cir.,Salinas,CA,93901,Monterey County,public,1-Yes,53,53,,,,,97230,15.7,069102114477,,,
2002109,Opportunity Academy,900 West Broadway,Newton,KS,67114,Harvey County,public,2-No,53,47,69.5,,0.0,1,74368,9,200996002109,,,
5302534,SCCP Images,1810 N Greene St,Spokane,WA,99217,Spokane County,public,2-No,53,53,,,,,,,,,,
0505129,GUY BERRY COLLEGE AND CAREER ACADEMY,500 BOMBER BLVD.,MOUNTAIN HOME,AR,72653,Baxter County,public,1-Yes,52,37,,,,,48452,18.9,050004305129,,,
A2303190,AQUINAS CLASSICAL ACADEMY,4215 PINE RD NE,BREMERTON,WA,98310,KITSAP,private,,52,52,,,0.0,,104158,8.6,,,,
2100709,Knox County Learning Academy,135 Wall St,Barbourville,KY,40906,Knox County,public,2-No,52,45,49.5,,0.0,1,32527,31.7,210315000709,,,
1205431,CHAUTAUQUA CHARTER SCHOOL,1118 MAGNOLIA AVE,PANAMA CITY,FL,32401,Bay County,public,1-Yes,52,52,,,0.0,0,73533,15.6,120009005431,,,
2703149,RIVER VALLEY ACADEMY ALC,1410 BUNDY BOULEVARD,WINONA,MN,55987,Winona County,public,2-No,52,52,75,,0.0,0,70744,7.3,270005503149,,,
0403492,Manson Mesa High School,500 South Navajo,Page,AZ,86040,Coconino County,public,2-No,52,52,30,,0.0,0,72966,16,040582003492,030220,Average,
2702633,Distance Learning Academy Secondary,38423 LINCOLN TRAIL,NORTH BRANCH,MN,55056,Chisago County,public,2-No,52,42,87,,0.0,0,99400,5.2,272382002633,,,
2704979,SWMetro ALC,401 EAST 4TH ST,CHASKA,MN,55318,Carver County,public,2-No,52,52,54.5,,0.0,0,125946,2.8,270042004979,,,
2401711,BCDC Educational Center,105 W. Chesapeake Avenue,Towson,MD,21204,Baltimore County,public,2-No,52,52,10,,,0,91768,10.6,240012001711,,,
2002094,Alfred Fairfax Academy,2226 N 85th st,Kansas City,KS,66109,Wyandotte County,public,2-No,52,52,34.5,,0.0,0,63631,19,200795002094,,,
2608604,Westwood North Academy,25824 MICHIGAN AVE,INKSTER,MI,48141,Wayne County,public,2-No,52,52,49.5,,0.0,0,60539,31.5,261164008604,230571,Below Average,
BB963538,YESHIVA VYELIPOL,860 E 27TH ST,BROOKLYN,NY,11210,KINGS,private,,51,51,,,0.0,,80263,26.5,,,,
4702646,Coffee County Virtual Academy,1756 McMinnville HWY,Manchester,TN,37355,Coffee County,public,2-No,51,42,,,0.0,0,61505,23.5,470078002646,,,
1902052,WEST Academy Alternative School,1302 1st Avenue West,Newton,IA,50208,Jasper County,public,2-No,51,51,,,,,,,,,,
5302554,Gate Work Study Program,3100 E 18TH ST,VANCOUVER,WA,98661,Clark County,public,2-No,51,51,,,,,,,,,,
3606475,GOSHEN SECURE CENTER,97 CROSS RD,GOSHEN,NY,10924,Orange County,public,2-No,51,51,,,,0,97178,15.1,360013106475,,,
2102285,Mercer Central,530 Perryville Road,Harrodsburg,KY,40330,Mercer County,public,2-No,51,51,90,,0.0,0.5,64824,15.1,210411002285,,,
0403751,AAEC Online,1440 S Longhorn,Mesa,AZ,85202,Maricopa County,public,1-Yes,51,51,,,0.0,0,89300,12.4,040096903751,,,
0604642,Ridgeview High (Continuation),5944 Maxwell Dr.,Paradise,CA,95969,Butte County,public,2-No,51,51,74.5,,0.0,1,67928,17.6,062982004642,050222,,
2703106,Longfellow Alternative High,3017 E 31ST ST,MINNEAPOLIS,MN,55406,Hennepin County,public,2-No,50,50,10,1,1.0,1,97653,8.9,272124003106,241601,Below Average,
3702467,Jackson Community School,3770 Skyland Drive,Sylva,NC,28779,Jackson County,public,2-No,50,46,77,,0.0,1,55815,21.2,370234002467,340973,Demanding,
4823207,CAREER AND COLLEGE DEVELOPMENT CENTER,814 E PLAZA ST,WESLACO,TX,78596,Hidalgo County,public,2-No,50,50,,,,,54338,32.3,484496023207,,,
3800066,SOURIS RIVER CAMPUS ALTERNATIVE HIGH SCHOOL,1510 University Ave W,Minot,ND,58703,Ward County,public,†,50,50,15,,0.0,1,78238,9.6,381303000066,,,
1900847,St Lake/IA Cntrl/Buena Vista Early College HS,621 Tornado Dr,Storm Lake,IA,50588,Buena Vista County,public,1-Yes,50,50,,,,,,,,,,
3800858,BRAVE CENTER ACADEMY,2335 4th AVE NW,Mandan,ND,58554,Morton County,public,†,50,50,67,,0.0,0,79382,10.8,381182000858,,,
0403807,International Commerce High School MCG,1855 S Country Club Dr,Mesa,AZ,85210,Maricopa County,public,1-Yes,50,50,,,,,89300,12.4,040010803807,,,
A1502480,CONGREGATION TIFERES YISROEL,300 BROCKTON RD,SPRING VALLEY,NY,10977,ROCKLAND,private,,50,50,,,0.0,,109959,22.7,,,,
A2301700,HADAR BET YAAKOV,193 PECK AVE # 10,FRESH MEADOWS,NY,11365,QUEENS,private,,50,50,,,0.0,,86136,14.9,,,,
2700864,HEADWATERS EDUC LEARNING PROGRAM,401 HUNTSINGER AVE,PARK RAPIDS,MN,56470,Hubbard County,public,2-No,50,50,50,,0.0,0,71995,13,272808000864,,,
A2301782,YESHIVA TIFERES SHMUEL,282 SPOOK ROCK RD,SUFFERN,NY,10901,ROCKLAND,private,,50,50,,,0.0,,109959,22.7,,,,
5303303,Cap Sante High School,1600 20th Street,Anacortes,WA,98221,Skagit County,public,2-No,50,50,,,0.0,0.30000001,89263,10,530015003303,480605,Average,
2102256,Northpoint Academy,5279 North Mayo Trail,Pikeville,KY,41501,Pike County,public,2-No,50,47,50,,0.0,1,44312,21.8,210480002256,,,
5303450,Open Door Youth Reengagement,2607 Jones Ave S,Renton,WA,98055,King County,public,2-No,50,50,,,,,,,,,,
A1702995,CB COMMUNITY SCHOOLS,4101 FREELAND AVE,PHILADELPHIA,PA,19128,PHILADELPHIA,private,,50,50,,,0.0,,61953,28.9,,,,
0602086,Earl F. Johnson High (Continuation),1201 North Douty,Hanford,CA,93230,Kings County,public,2-No,50,50,52,,0.0,1,70995,17.3,061650002086,050222,,
5303112,Student Link,9600 SW 204th St,Vashon,WA,98070,King County,public,2-No,50,50,,,0.0,0,124746,9.5,530930003112,,,
