guid,name,city,ceeb,ceeb_padded,suspected_counterpart_ceeb,custom_id
fd7a0007-dc68-45e1-91c6-5e131e36706c,Colegio De Diego,Caparra Terrace,541200,541200,054120,0021963
c3a349d8-aca6-43d5-8d72-e6f66aaa1630,Colegio De La Immaculada,Santurce,545800,545800,054580,0021949
c97ac149-0eaa-477b-a539-b4d2af44ed84,Colegio Dioc Santiago Apostal,Fajardo,541810,541810,054181,0021908
59609760-1e22-24fc-21f3-4af720e3762a,Colegio Dr Roque Diaz Tizol,Yabucoa,544810,544810,054481,
a03c7975-7249-4e2f-b567-930977c26648,Colegio El Buen Pastor,Guaynabo,544450,544450,054445,0022026
e705d0e4-59cb-4c59-81c5-bc82d6217b6d,Colegio Espiritu Santo,San Juan,542240,542240,054224,0021962
e661ff06-bb91-4faa-a2e2-b5b95e8d8e2b,Colegio Evangelico Capt Correa,Arecibo,540580,540580,054058,0021794
429aabd9-a1ae-4f1c-b678-67915373b1a9,Colegio Immaculada,Manati,543080,543080,054308,0021866
bac84edb-24f5-4b35-bd02-24421be10026,Colegio La Milagrosa,Rio Piedras,544600,544600,054460,0021977
64d885a7-4ecb-405a-8624-72e3a31e7d83,Colegio Madre Cabrini,Caparra Heights,541190,541190,054119,0021965
782acb90-3f3c-480e-96e9-19bde7149542,Colegio Nuestra Sra Del Carmen,San Juan,544370,544370,054437,0021984
377b98c2-2d7c-4452-ac34-ede367598cca,Colegio Nuestra Sra Del Carmen,Hatillo,542220,542220,054222,0021825
c3d952e4-bf80-4b80-966b-9938419ad179,Colegio Puertorriqueno De Nina,Guaynabo,545840,545840,054584,0022025
f398afc3-981e-4e47-9173-59e36837a9a7,Colegio Sagrado Corazon Jesus,Ponce,543920,543920,054392,0021895
a34ddf08-d42b-4cdf-b357-55fb7d4d3192,Colegio San Antonio,Rio Piedras,544360,544360,054436,0021989
3cb62720-db3c-4621-bcdb-4d6e119756d6,Colegio San Antonio,Isabela,542640,542640,054264,0021829
5251f8b8-3b2f-4abc-bf93-c6ed4362bdc9,Colegio San Antonio Abad,Humacao,542520,542520,054252,0021941
a362067b-eeb5-4eba-bd1b-f4513b8606eb,Colegio San Conrado,Ponce,544000,544000,054400,0021900
67c49f4b-f80c-4c6f-a913-f9be4deb0c1a,Colegio San Felipe,Arecibo,540600,540600,054060,0021792
6dcaf79a-62d5-469e-b687-ba95f27d6164,Colegio San Ignacio De Loyola,San Juan,544400,544400,054440,0021986
f3e26ec4-56bd-4572-abdb-30bf0d9971ff,Colegio San Jose,San Juan,544440,544440,054444,0021992
dd80e98a-ba0a-4edd-97f6-77d53c363826,Colegio San Jose,San German,544960,544960,054496,0021854
