destinationtable,rcdts,level,school_name,district,city,county,district_type,school_type,grades_served,summative_designation,summative_designation_student_group_s,title_i_status,state_senate_district,state_house_district,ebf_tier,pct_ebf_capacity_to_meet_expectations,count_school_enrollment,site_level_per_pupil_expenditures_federal,site_level_per_pupil_expenditures_state_local,site_level_per_pupil_expenditures_subtotal,district_centralized_per_pupil_expenditure_federal,district_centralized_per_pupil_expenditure_state_local,district_centralized_per_pupil_expenditure_subtotal,total_per_pupil_expenditures_federal,total_per_pupil_expenditures_state_local,total_per_pupil_expenditures_subtotal,exclusions,total_expenditures_sber,local_property_taxes,pct_local_property_taxes,other_local_funding,pct_other_local_funding,evidence_based_funding,pct_evidence_based_funding,other_state_funding,pct_other_state_funding,federal_funding,pct_federal_funding,total_revenue_source,eav_per_pupil,total_school_tax_rate_per_100,instructional_expenditure_per_pupil,operating_expenditures,instruction,pct_instruction,general_admin,pct_general_admin,supporting_services,pct_supporting_services,other_expenditures,pct_other_expenditures,education_fund,pct_education_fund,operations_b_m,pct_operations_b_m,transportation,pct_transportation,debt_service,pct_debt_service,tort,pct_tort,munic_ret_soc_security,pct_munic_ret_soc_security,fire_prev_safety,pct_fire_prev_safety,capital_projects_fund,pct_capital_projects_fund,total_expenditures_afr,per_pupil_pension_obligation_amount,total_pension_obligation_amount
Finance1,41-057-0100-26-0000,District,,Collinsville CUSD 10,Collinsville,Madison,Unit District,,,,,,56,112,1,74.3,5913.935,11.8,5668.36,5680.16,1831.62,6856.63,8688.25,1843.42,12524.99,14368.41,15562451.55,100536290.12,43714066,40.1,4369134,4,32947240,30.3,6412537,5.9,21458502,19.7,108901479,187635.16,4.24,8704.24,14060.15,45404714,43.5,3284409,3.1,26084347,25,29635694,28.4,66874412,64.1,7615102,7.3,5639720,5.4,3284495,3.1,2347212,2.2,1897078,1.8,373371,0.4,16377774,15.7,104409164,718.95,4295022.86
Finance1,41-057-0100-26-2006,School,Caseyville Elementary School,Collinsville CUSD 10,Caseyville,Madison,Unit District,Elementary School,PK - 4,Commendable,All Students,Title 1 Schoolwide,56,112,,,333.5,0,4930.51,4930.51,2740.58,7315.85,10056.43,2740.58,12246.36,14986.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,41-057-0100-26-0001,School,Collinsville High School,Collinsville CUSD 10,Collinsville,Madison,Unit District,High School,9 - 12,Commendable,All Students,Title 1 Eligible but Not Served,56,112,,,1892.76,36.86,6673.42,6710.28,1311.33,5883.71,7195.04,1348.18,12557.13,13905.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,41-057-0100-26-1003,School,Collinsville Middle School,Collinsville CUSD 10,Collinsville,Madison,Unit District,Middle/Junior High School,7 - 8,Targeted,"Native American, Children with Disabilities",Title 1 Eligible but Not Served,56,112,,,884.5,0,6560.18,6560.18,1383.63,6467.07,7850.7,1383.63,13027.26,14410.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,41-057-0100-26-2024,School,Dorris Intermediate Sch,Collinsville CUSD 10,Collinsville,Madison,Unit District,Elementary School,4 - 6,Commendable,All Students,Title 1 Eligible but Not Served,56,112,,,868,0,4822.18,4822.18,1440.65,6649.4,8090.05,1440.65,11471.58,12912.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,41-057-0100-26-2014,School,John A Renfro Elementary School,Collinsville CUSD 10,Collinsville,Madison,Unit District,Elementary School,PK - 4,Commendable,All Students,Title 1 Schoolwide,56,112,,,492,0,5276.59,5276.59,2782.01,6972.12,9754.13,2782.01,12248.72,15030.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,41-057-0100-26-2011,School,Kreitner Elem School,Collinsville CUSD 10,Collinsville,Madison,Unit District,Elementary School,PK - 4,Commendable,All Students,Title 1 Schoolwide,56,112,,,365,0,3880.98,3880.98,2774.66,8777.06,11551.72,2774.66,12658.04,15432.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,41-057-0100-26-2022,School,Maryville Elem School,Collinsville CUSD 10,Maryville,Madison,Unit District,Elementary School,PK - 4,Commendable,All Students,Title 1 Ineligible Due to Ranking,56,112,,,383.5,0,4624.81,4624.81,1576,6947.7,8523.7,1576,11572.51,13148.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,41-057-0100-26-2020,School,Summit Elementary School,Collinsville CUSD 10,Collinsville,Madison,Unit District,Elementary School,K - 4,Commendable,All Students,Title 1 Schoolwide,56,112,,,114,0,6463.23,6463.23,2219.04,6216.7,8435.74,2219.04,12679.93,14898.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,41-057-0100-26-2023,School,Twin Echo Elem School,Collinsville CUSD 10,Collinsville,Madison,Unit District,Elementary School,K - 4,Commendable,All Students,Title 1 Schoolwide,56,112,,,219,0,5830.45,5830.45,2422.22,5129.49,7551.71,2422.22,10959.94,13382.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
