source_id,source_name,state,source_city,CEEB,nu_name,nu_city,name_score_set,name_score_sort,city_match,tier,needs_review
31-045-0460-22-2007,Hilltop Elementary School,IL,ELGIN,141844,Cove School,NORTHBROOK,70.58823529411765,44.44444444444444,False,reject,False
31-045-0460-22-2043,Horizon Elem School,IL,HANOVER PARK,143320,Orion High School,ORION,72.22222222222223,72.22222222222221,False,reject,False
31-045-0460-22-2022,Huff Elem School,IL,ELGIN,141844,Cove School,NORTHBROOK,70.58823529411765,59.25925925925925,False,reject,False
31-045-0460-22-1009,Kenyon Woods Middle School,IL,SOUTH ELGIN,140108,Middle Fork School,DANVILLE,83.87096774193549,68.18181818181819,False,review,True
31-045-0460-22-1006,Kimball Middle School,IL,ELGIN,140108,Middle Fork School,DANVILLE,83.87096774193549,76.92307692307692,False,review,True
31-045-0460-22-0002,Larkin High School,IL,ELGIN,141772,Larkin High School,ELGIN,100.0,100.0,True,auto_accept,False
31-045-0460-22-1007,Larsen Middle School,IL,ELGIN,140108,Middle Fork School,DANVILLE,83.87096774193549,78.94736842105263,False,review,True
31-045-0460-22-2024,Laurel Hill Elem School,IL,HANOVER PARK,140400,Red Hill High School,BRIDGEPORT,70.96774193548387,69.76744186046511,False,reject,False
31-045-0460-22-2054,Liberty Elem School,IL,BARTLETT,142374,Liberty Valley School,JOLIET,85.0,70.0,False,review,True
31-045-0460-22-2006,Lincoln Elementary School,IL,HOFFMAN ESTATES,141100,Lincoln Park High School,CHICAGO,73.6842105263158,61.224489795918366,False,reject,False
31-045-0460-22-2044,Lords Park Elem School,IL,ELGIN,141815,Elmwood Park High School,ELMWOOD PARK,73.91304347826087,73.91304347826086,False,reject,False
31-045-0460-22-2025,Lowrie Elem School,IL,ELGIN,141844,Cove School,NORTHBROOK,70.58823529411765,62.06896551724138,False,reject,False
31-045-0460-22-2026,McKinley Elem School,IL,ELGIN,142833,McKinley Libra,RIVERDALE,72.72727272727272,58.82352941176471,False,reject,False
31-045-0460-22-2053,Nature Ridge Elem School,IL,BARTLETT,141890,Blue Ridge High School,FARMER CITY,70.58823529411765,69.56521739130434,False,reject,False
31-045-0460-22-2027,Oakhill Elem School,IL,STREAMWOOD,143708,Mill School,ROCKFORD,73.33333333333333,73.33333333333334,False,reject,False
31-045-0460-22-2028,Ontarioville Elem School,IL,HANOVER PARK,141844,Cove School,NORTHBROOK,70.58823529411765,57.14285714285714,False,reject,False
31-045-0460-22-2056,Otter Creek Elem School,IL,ELGIN,141844,Cove School,NORTHBROOK,70.58823529411765,58.82352941176471,False,reject,False
31-045-0460-22-2029,Parkwood Elem School,IL,HANOVER PARK,141810,Elmwood High School,ELMWOOD,71.7948717948718,71.7948717948718,False,reject,False
31-045-0460-22-2048,Prairieview Elementary School,IL,BARTLETT,141844,Cove School,NORTHBROOK,70.58823529411765,44.99999999999999,False,reject,False
31-045-0460-22-2031,Ridge Circle Elem School,IL,STREAMWOOD,141890,Blue Ridge High School,FARMER CITY,70.58823529411765,69.56521739130434,False,reject,False
31-045-0460-22-2032,Ronald D O Neal,IL,ELGIN,143179,One World School,EAST MOLINE,51.61290322580645,51.61290322580645,False,reject,False
31-045-0460-22-0005,South Elgin High School,IL,SOUTH ELGIN,141770,Elgin High School,ELGIN,100.0,85.0,False,auto_accept,False
31-045-0460-22-2051,Spring Trail Elementary School,IL,CAROL STREAM,141844,Cove School,NORTHBROOK,70.58823529411765,39.02439024390244,False,reject,False
31-045-0460-22-0003,Streamwood High School,IL,STREAMWOOD,144038,Streamwood High School,STREAMWOOD,100.0,100.0,True,auto_accept,False
31-045-0460-22-2034,Sunnydale Elem School,IL,STREAMWOOD,140046,Allendale School,LAKE VILLA,75.67567567567568,54.054054054054056,False,reject,False
31-045-0460-22-2049,Sycamore Trails Elementary School,IL,BARTLETT,144065,Sycamore High School,SYCAMORE,85.71428571428571,60.37735849056604,False,reject,False
31-045-0460-22-1008,Tefft Middle School,IL,STREAMWOOD,140108,Middle Fork School,DANVILLE,83.87096774193549,70.27027027027026,False,review,True
31-045-0460-22-2008,Timber Trails Elementary School,IL,HOFFMAN ESTATES,141844,Cove School,NORTHBROOK,70.58823529411765,38.095238095238095,False,reject,False
31-045-0460-22-2036,Washington Elem School,IL,ELGIN,140842,George Washington High School,CHICAGO,87.17948717948718,78.43137254901961,False,review,True
31-045-0460-22-2037,Wayne Elem School,IL,WAYNE,144330,Wayne City High School,WAYNE CITY,82.75862068965517,66.66666666666667,False,review,True
31-045-0460-22-2038,Willard Elem School,IL,SOUTH ELGIN,143708,Mill School,ROCKFORD,73.33333333333333,53.333333333333336,False,reject,False
13-058-0100-04-2003,Selmaville Elem School,IL,SALEM,143900,Shelbyville High School,SHELBYVILLE,71.11111111111111,71.11111111111111,False,reject,False
35-050-1700-04-1001,Seneca Elem School South Campus,IL,SENECA,140118,South Campus,PALATINE,100.0,55.81395348837209,False,reject,False
35-050-1700-04-2001,Seneca Grade School North Campus,IL,SENECA,143865,Seneca High School,SENECA,83.87096774193549,64.0,True,reject,False
35-050-1600-17-0001,Seneca High School,IL,SENECA,143865,Seneca High School,SENECA,100.0,100.0,True,auto_accept,False
35-050-0020-26-2002,Harding Grade School,IL,EARLVILLE,142165,Gridley HS,GRIDLEY,76.92307692307692,76.92307692307692,False,reject,False
35-050-0020-26-0001,Serena High School,IL,SERENA,143870,Serena High School,SERENA,100.0,100.0,True,auto_accept,False
