ceeb,org_name,sc_instnm,state,region,urbanicity,latitude,longitude,sc_control,sc_preddeg,iclevel,carnegie_basic,sc_ugds,sc_tuition_in,net_price,sc_pct_pell,sc_adm_rate,sc_sat_avg,sc_completion_150_4yr,cluster,cluster_fine,pca_1,pca_2
006654,South Texas College,South Texas College,TX,South,4.0,26.217591,-98.253634,1.0,2.0,1.0,14.0,16131.0,4920.0,1291.0,0.3593,,,0.2758,0.0,0.0,-2.0944731210288894,1.0816797686206483
001189,Southeast Community College,Southeast Community College Area,NE,Midwest,4.0,40.81079,-96.62818,1.0,2.0,2.0,8.0,6235.0,3540.0,8470.0,0.211,,,,0.0,0.0,-1.435442235818285,1.215080730084651
006655,Southeast Missouri State University,Southeast Missouri State University,MO,Midwest,4.0,37.311107,-89.531187,1.0,3.0,1.0,18.0,6588.0,9496.0,14531.0,0.2948,0.785,1018.0,0.5568,0.0,0.0,-1.0060314310589737,1.0686505550514136
007054,Southeast Vo-Tech Institute,Southeast Technical College,SD,Midwest,4.0,43.570446,-96.780241,1.0,2.0,2.0,7.0,2164.0,7650.0,17165.0,0.3229,,,,0.0,0.0,-0.7693289479021542,0.44508045274845404
001781,Southeastern Baptist College,Southeastern Baptist College,MS,South,2.0,31.748512,-89.149373,2.0,2.0,1.0,23.0,65.0,5925.0,5603.0,0.7054,,,1.0,1.0,1.0,-0.38043849147868253,-4.023518362825477
005621,Southeastern College Assemblies of God,Southeastern University,FL,South,4.0,28.029733,-81.918382,2.0,3.0,1.0,17.0,4646.0,31732.0,30209.0,0.2214,0.7429,,0.433,1.0,4.0,1.654667498426647,1.0978831277658085
005651,Southeastern Community College,Southeastern Community College,NC,South,1.0,34.331749,-78.783365,1.0,2.0,2.0,5.0,821.0,2600.0,4474.0,0.4535,,,,0.0,3.0,-1.9600810582268993,-1.912651505275812
006656,Southeastern Louisiana University,Southeastern Louisiana University,LA,South,4.0,30.514652,-90.468676,1.0,3.0,1.0,18.0,9514.0,8373.0,12174.0,0.33,0.9428,1090.0,0.448,0.0,0.0,-1.3053886664550622,1.0961832031048804
006657,Southeastern Oklahoma State Un,Southeastern Oklahoma State University,OK,South,2.0,34.006808,-96.376864,1.0,3.0,1.0,18.0,3183.0,7200.0,6352.0,0.401,0.8034,1084.0,0.3333,0.0,3.0,-1.7732689755783082,-0.596869219888814
006661,Southern Arkansas University,Southern Arkansas University Main Campus,AR,South,2.0,33.291618,-93.235922,1.0,3.0,1.0,18.0,2865.0,9820.0,15944.0,0.446,0.6659,1050.0,0.465,0.0,3.0,-1.2007708215530661,-0.6584100010628355
003662,Southern Connecticut State University,Southern Connecticut State University,CT,Northeast,4.0,41.333225,-72.947897,1.0,3.0,1.0,18.0,6180.0,12828.0,20877.0,0.3727,0.8112,,0.4782,0.0,0.0,-0.5643764410152475,0.9167371874165577
003535,Southern Maine Technical Coll,Southern Maine Community College,ME,Northeast,4.0,43.646649,-70.229182,1.0,2.0,2.0,5.0,5279.0,3797.0,11638.0,0.2454,,,,0.0,0.0,-1.2063970813621163,1.1023779088306491
004702,Southern Oregon U,Southern Oregon University,OR,West,3.0,42.185077,-122.695081,1.0,3.0,1.0,18.0,2911.0,12093.0,16470.0,0.2434,0.8266,,0.4418,0.0,0.0,-0.8188622319875414,0.5703949837140393
005626,Southern Polytechnic State University,Life University,GA,South,4.0,33.932781,-84.514729,2.0,3.0,1.0,18.0,869.0,15036.0,30257.0,0.3923,0.9381,994.0,0.3214,1.0,2.0,1.2857991071303978,-0.4360481893840927
001752,Southern State Community Coll,Southern State Community College,OH,Midwest,2.0,39.236924,-83.614085,1.0,2.0,2.0,6.0,751.0,5687.0,10918.0,0.208,,,,0.0,3.0,-1.146854928158549,-0.5860651297307221
