nces_id_12,calculus_offered,advmath_offered,chemistry_offered,physics_offered,stem_advanced_offered
010192000720,,,,,
010192000724,,,,,
010192000725,1.0,1.0,1.0,1.0,4.0
010192000727,,,,,
010192000728,1.0,1.0,1.0,0.0,3.0
010192000729,,,,,
010192000730,,,,,
010192000732,0.0,1.0,1.0,0.0,2.0
010192000733,,,,,
010192000734,0.0,1.0,1.0,0.0,2.0
010192000735,,,,,
010192000736,,,,,
010192000737,1.0,1.0,1.0,0.0,3.0
010192000740,,,,,
010192000744,1.0,1.0,1.0,1.0,4.0
010192000749,,,,,
010192000750,,,,,
010192001453,,,,,
010192001539,,,,,
010192001542,,,,,
010192001543,,,,,
010192001680,0.0,0.0,0.0,0.0,0.0
010192001752,1.0,0.0,1.0,0.0,2.0
010192002079,,,,,
010192002117,,,,,
010192002166,,,,,
010192002174,,,,,
010192002182,,,,,
010192002421,,,,,
010192002495,,,,,
010192002496,0.0,1.0,1.0,1.0,3.0
010195000756,0.0,1.0,1.0,0.0,2.0
010195000757,,,,,
010195001511,0.0,1.0,1.0,1.0,3.0
010195001720,0.0,1.0,1.0,1.0,3.0
010198000759,0.0,0.0,1.0,1.0,2.0
010198000760,,,,,
010198001544,,,,,
010201000764,1.0,0.0,1.0,0.0,2.0
010201000765,0.0,1.0,1.0,1.0,3.0
010201000767,1.0,1.0,1.0,1.0,4.0
010201000770,0.0,1.0,1.0,0.0,2.0
010201000772,0.0,1.0,1.0,1.0,3.0
010201000773,,,,,
010201000774,0.0,1.0,1.0,0.0,2.0
010201000775,1.0,1.0,1.0,1.0,4.0
010201001545,,,,,
010204000776,0.0,1.0,1.0,0.0,2.0
010204000777,0.0,1.0,1.0,0.0,2.0
010204000778,,,,,
010204000779,,,,,
010204000780,1.0,1.0,1.0,0.0,3.0
010204000781,,,,,
010204000783,1.0,1.0,1.0,0.0,3.0
010204000785,,,,,
010204000786,,,,,
010204000787,,,,,
010204000788,,,,,
010204001410,,,,,
010204001546,1.0,1.0,1.0,0.0,3.0
010204002211,0.0,0.0,0.0,0.0,0.0
010207000284,,,,,
010207000285,,,,,
010207000290,,,,,
010207000296,,,,,
010207000486,,,,,
010207000790,1.0,1.0,1.0,1.0,4.0
010207000791,0.0,0.0,1.0,1.0,2.0
010207000792,0.0,0.0,1.0,0.0,1.0
010207000793,,,,,
010207000794,,,,,
010207000795,1.0,1.0,1.0,1.0,4.0
010207000796,,,,,
010207002188,,,,,
010207002197,0.0,0.0,0.0,0.0,0.0
010210000797,0.0,1.0,1.0,1.0,3.0
010210000799,1.0,1.0,1.0,0.0,3.0
010210000800,1.0,1.0,1.0,0.0,3.0
010210000802,,,,,
010210000805,,,,,
010210000806,,,,,
010210000808,1.0,1.0,1.0,1.0,4.0
010210000810,0.0,1.0,1.0,1.0,3.0
010210001454,,,,,
010210001549,1.0,1.0,1.0,0.0,3.0
010210002081,,,,,
010210002164,,,,,
010210002422,,,,,
010210002423,,,,,
010210002431,,,,,
010210002436,1.0,1.0,1.0,1.0,4.0
010213000811,0.0,0.0,0.0,0.0,0.0
010213000812,,,,,
010213000813,0.0,0.0,0.0,0.0,0.0
010216000815,0.0,1.0,1.0,1.0,3.0
010216000816,,,,,
010216000817,0.0,1.0,1.0,0.0,2.0
010216000821,,,,,
010216001635,,,,,
010216001636,,,,,
010216001637,,,,,
010219000824,0.0,1.0,1.0,0.0,2.0
010219000826,,,,,
010219000827,,,,,
010219000829,,,,,
010219001811,1.0,1.0,1.0,0.0,3.0
010219001863,,,,,
010222000030,,,,,
010222000556,0.0,1.0,1.0,1.0,3.0
010222000560,,,,,
