ibo_school_id,ib_name,offers_dp,offers_cp,offers_myp,offers_pyp,programmes,ncessch,nces_name,city,state
939,Auburn High School,t,f,f,f,DP,1700142,Auburn High School,Auburn,IL 
939,Auburn High School,t,f,f,f,DP,3100038,AUBURN HIGH SCHOOL,AUBURN,NE 
939,Auburn High School,t,f,f,f,DP,1703599,Auburn High School,Rockford,IL 
61215,Austin Academy for Excellence,f,f,t,f,MYP,,,,
60969,Austin Elementary,f,f,f,t,PYP,,,,
63390,Austin International School,f,f,t,f,MYP,,,,
2556,Avondale Elementary School,f,f,f,t,PYP,1300694,Avondale Elementary School,Avondale Estates,GA 
2556,Avondale Elementary School,f,f,f,t,PYP,3900585,Avondale Elementary School,Columbus,OH 
2556,Avondale Elementary School,f,f,f,t,PYP,0801069,Avondale Elementary School,AVONDALE,CO 
2556,Avondale Elementary School,f,f,f,t,PYP,3903757,Avondale Elementary School,Canton,OH 
2556,Avondale Elementary School,f,f,f,t,PYP,0100103,Avondale Elementary School,Birmingham,AL 
436,Awty International School,t,f,f,f,DP,,,,
1312,Aynor High School,t,f,f,f,DP,,,,
2285,Baccalaureate School for Global Education,t,f,f,f,DP,3605735,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,LONG ISLAND CITY,NY 
50253,Back of the Yards College Preparatory High School,t,t,t,f,"MYP, DP, CP",,,,
