destinationtable,rcdts,level,school_name,district,city,county,district_type,school_type,grades_served,summative_designation,summative_designation_student_group_s,title_i_status,state_senate_district,state_house_district,ebf_tier,pct_ebf_capacity_to_meet_expectations,count_school_enrollment,site_level_per_pupil_expenditures_federal,site_level_per_pupil_expenditures_state_local,site_level_per_pupil_expenditures_subtotal,district_centralized_per_pupil_expenditure_federal,district_centralized_per_pupil_expenditure_state_local,district_centralized_per_pupil_expenditure_subtotal,total_per_pupil_expenditures_federal,total_per_pupil_expenditures_state_local,total_per_pupil_expenditures_subtotal,exclusions,total_expenditures_sber,local_property_taxes,pct_local_property_taxes,other_local_funding,pct_other_local_funding,evidence_based_funding,pct_evidence_based_funding,other_state_funding,pct_other_state_funding,federal_funding,pct_federal_funding,total_revenue_source,eav_per_pupil,total_school_tax_rate_per_100,instructional_expenditure_per_pupil,operating_expenditures,instruction,pct_instruction,general_admin,pct_general_admin,supporting_services,pct_supporting_services,other_expenditures,pct_other_expenditures,education_fund,pct_education_fund,operations_b_m,pct_operations_b_m,transportation,pct_transportation,debt_service,pct_debt_service,tort,pct_tort,munic_ret_soc_security,pct_munic_ret_soc_security,fire_prev_safety,pct_fire_prev_safety,capital_projects_fund,pct_capital_projects_fund,total_expenditures_afr,per_pupil_pension_obligation_amount,total_pension_obligation_amount
Finance1,28-088-0010-26-1001,School,Bradford Jr High School,Bradford CUSD 1,Bradford,Stark,Unit District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,37,73,,,45,0,1160.27,1160.27,696.33,14917.69,15614.02,696.33,16077.96,16774.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,32-046-3070-16-0001,School,Bradley-Bourbonnais C High School,Bradley Bourbonnais CHSD 307,Bradley,Kankakee,High School District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,40,79,,,1919.57,507.09,14096.51,14603.6,9.17,839.22,848.39,516.26,14935.73,15451.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,32-046-0610-02-1001,School,Bradley Central Middle School,Bradley SD 61,Bradley,Kankakee,Elementary District,Middle/Junior High School,6 - 8,Commendable,All Students,Title 1 Schoolwide,40,79,,,370,415.65,13823.86,14239.5,329.08,4060.68,4389.76,744.73,17884.54,18629.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,32-046-0610-02-2002,School,Bradley East Elem School,Bradley SD 61,Bradley,Kankakee,Elementary District,Elementary School,PK - 2,Commendable,All Students,Title 1 Schoolwide,40,79,,,488.9,1084.99,11908.62,12993.6,329.08,4060.68,4389.76,1414.07,15969.3,17383.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,32-046-0610-02-2003,School,Bradley West Elem School,Bradley SD 61,Bradley,Kankakee,Elementary District,Elementary School,3 - 5,Commendable,All Students,Title 1 Schoolwide,40,79,,,397.8,889.27,10777.75,11667.02,329.08,4060.68,4389.76,1218.35,14838.43,16056.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,13-014-0120-04-2002,School,Beckemeyer Elem School,Breese ESD 12,Beckemeyer,Clinton,Elementary District,Elementary School,PK - 2,,,Title 1 Schoolwide,55,110,,,218.41,0,2387.51,2387.51,25.16,10259.87,10285.04,25.16,12647.38,12672.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,13-014-0120-04-2001,School,Breese Elem School,Breese ESD 12,Breese,Clinton,Elementary District,Elementary School,3 - 8,Exemplary,All Students,Title 1 Schoolwide,55,109,,,355.7,0,0,0,25.16,10259.87,10285.04,25.16,10259.87,10285.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,07-016-2280-16-0001,School,Bremen High School,Bremen CHSD 228,Midlothian,Cook,High School District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,15,30,,,1423,208.18,11258.96,11467.14,495.39,11256.58,11751.97,703.57,22515.54,23219.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,07-016-2280-16-0003,School,Hillcrest High School,Bremen CHSD 228,Country Club Hills,Cook,High School District,High School,9 - 12,Commendable,All Students,Title 1 Schoolwide,19,38,,,1034.82,608.49,12037.63,12646.12,495.39,11256.58,11751.97,1103.88,23294.21,24398.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance1,07-016-2280-16-0004,School,Oak Forest High School,Bremen CHSD 228,Oak Forest,Cook,High School District,High School,9 - 12,Commendable,All Students,Title 1 Targeted,15,30,,,1348.41,15.74,10550.48,10566.23,495.39,11256.58,11751.97,511.13,21807.06,22318.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
