school_id,our_name,our_city,state,sector,bob_ceeb,bob_name,bob_city,match_rule,score,confidence
4201806,Susquehanna Twp HS,Harrisburg,PA,public,391660,Susquehanna Township HS,Harrisburg,ceeb_exact,100.0,high
4204614,Susquehannock HS,Glen Rock,PA,public,391545,Susquehannock High School,Glen Rock,ceeb_exact,100.0,high
4203589,Susquenita HS,Duncannon,PA,public,391075,Susquenita High School,Duncannon,ceeb_exact,100.0,high
4200572,Swenson Arts and Technology High School,Philadelphia,PA,public,393524,Swenson Arts & Technology HS,Philadelphia,ceeb_exact,100.0,high
4207589,TECH Freire CS,Philadelphia,PA,public,,,,unmatched,,
4205070,Tamaqua Area SHS,Tamaqua,PA,public,394765,Tamaqua Area Senior HS,Tamaqua,ceeb_exact,100.0,high
4207525,The Linc,Philadelphia,PA,public,393572,Linc - Learning In New Context,PHILADELPHIA,subset_same_city,97.0,high
4200866,The New Academy CS,Pittsburgh,PA,public,,,,unmatched,,
4207524,The Science Leadership Academy at Beeber,Philadelphia,PA,public,393238,Science Leadership Academy,Philadelphia,ceeb_exact,100.0,high
4207547,The U School: Innovative Lab,Philadelphia,PA,public,,,,unmatched,,
4207548,The Workshop School,Philadelphia,PA,public,393567,Workshop School,PHILADELPHIA,exact_normalized_name,99.0,high
4200523,Thomas Jefferson HS,Jefferson Hills,PA,public,390655,Thomas Jefferson High School,Jefferson Hills,ceeb_exact,100.0,high
4201668,Titusville High School,Titusville,PA,public,394820,Titusville Senior High School,Titusville,ceeb_exact,100.0,high
4205208,Towanda Area JSHS,Towanda,PA,public,394845,Towanda Junior Senior High Sch,TOWANDA,subset_same_city,97.0,high
4203957,Tri-Valley JSHS,Hegins,PA,public,394975,Tri-Valley High School,Hegins,ceeb_exact,100.0,high
4206012,Trinity SHS,Washington,PA,public,395060,Trinity High School,WASHINGTON,exact_normalized_name,99.0,high
4201000,Troy Area JSHS,Troy,PA,public,394875,Troy Senior High School,TROY,subset_same_city,97.0,high
4201029,Truman SHS,Levittown,PA,public,390435,Harry S Truman High School,LEVITTOWN,subset_same_city,97.0,high
4204670,Tulpehocken Area HS,Bernville,PA,public,390280,Tulpehocken Junior-Senior HS,Bernville,ceeb_exact,100.0,high
4205271,Tunkhannock HS,Tunkhannock,PA,public,394885,Tunkhannock Area High School,Tunkhannock,ceeb_exact,100.0,high
4206216,Turkeyfoot Valley Area JSHS,Confluence,PA,public,390795,Turkeyfoot Valley Area HS,Confluence,ceeb_exact,100.0,high
4200753,Tussey Mountain HS,Saxton,PA,public,394370,Tussey Mountain High School,Saxton,ceeb_exact,100.0,high
4200873,Twin Valley HS,Elverson,PA,public,391238,Twin Valley High School,Elverson,ceeb_exact,100.0,high
4200949,Tyrone Area HS,Tyrone,PA,public,394910,Tyrone Area Middle And High Sc,Tyrone,ceeb_exact,100.0,high
4202712,Union Area HS,New Castle,PA,public,392925,Union Area Middle-High School,New Castle,ceeb_exact,100.0,high
4202075,Union City HS,Union City,PA,public,394245,Union High School,Rimersburg,ceeb_exact,100.0,high
4201501,Union HS,Rimersburg,PA,public,392815,Mount Union Area High School,Mount Union,ceeb_exact,100.0,high
4202184,Uniontown Area SHS,Uniontown,PA,public,394951,Uniontown Area High School,Uniontown,ceeb_exact,100.0,high
4201443,Unionville HS,Kennett Square,PA,public,394955,Unionville High School,Kennett Square,ceeb_exact,100.0,high
4202358,United JSHS,Armagh,PA,public,392937,United High School,ARMAGH,exact_normalized_name,99.0,high
4207402,Universal Audenried CS,Philadelphia,PA,public,393253,Universal Audenried Charter HS,PHILADELPHIA,fuzzy90_same_city,93.0,high
