name,school_id,offers_pyp,offers_myp,offers_dp,offers_cp,programmes,offers_any_ib,languages,ibo_url
Granite Hills High School,001320,false,false,true,false,DP,true,English,https://ibo.org/school/001320/
Gray-New Gloucester High School,006941,false,false,true,false,DP,true,English,https://ibo.org/school/006941/
Great Oak High School,002820,false,false,true,false,DP,true,English,https://ibo.org/school/002820/
Great River School,003319,false,false,true,false,DP,true,English,https://ibo.org/school/003319/
Greco Middle School,061725,false,true,false,false,MYP,true,English,https://ibo.org/school/061725/
Greeley West High School,000912,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/000912/
Greely High School,003346,false,false,true,false,DP,true,English,https://ibo.org/school/003346/
Green Bay West High School,006611,false,true,true,true,"MYP, DP, CP",true,English,https://ibo.org/school/006611/
Green Lake School District,004048,true,true,true,false,"PYP, MYP, DP",true,English,https://ibo.org/school/004048/
Green Run Collegiate,050354,false,true,true,true,"MYP, DP, CP",true,English,https://ibo.org/school/050354/
Green Valley High School,000668,false,false,true,true,"DP, CP",true,"English, Spanish",https://ibo.org/school/000668/
Greenville Central School,004942,false,false,true,false,DP,true,English,https://ibo.org/school/004942/
Greer High School,001504,false,false,true,false,DP,true,English,https://ibo.org/school/001504/
Grimsley High School,000836,false,false,true,false,DP,true,English,https://ibo.org/school/000836/
Grisham Middle School,002510,false,true,false,false,MYP,true,English,https://ibo.org/school/002510/
Groton Middle School,060874,false,true,false,false,MYP,true,English,https://ibo.org/school/060874/
Grove Academy,064203,true,false,false,false,PYP,true,"English, Spanish",https://ibo.org/school/064203/
Grove Park Elementary School,060294,true,false,false,false,PYP,true,"English, Spanish",https://ibo.org/school/060294/
Grover Beach  Elementary School,049196,true,false,false,false,PYP,true,English,https://ibo.org/school/049196/
Guajome Park Academy,000999,false,false,true,true,"DP, CP",true,English,https://ibo.org/school/000999/
Guilford High School,051431,false,false,true,false,DP,true,English,https://ibo.org/school/051431/
Gulf High School,002967,false,false,true,false,DP,true,English,https://ibo.org/school/002967/
Gulf Middle School,061757,false,true,false,false,MYP,true,"English, Spanish",https://ibo.org/school/061757/
Gulliver Preparatory Middle School,004723,false,true,false,false,MYP,true,English,https://ibo.org/school/004723/
Gulliver Preparatory School,000913,false,false,true,false,DP,true,English,https://ibo.org/school/000913/
H. Allen Hight Elementary School,050267,true,false,false,false,PYP,true,English,https://ibo.org/school/050267/
H. Clarke Powers Elementary School,050423,true,true,false,false,"PYP, MYP",true,"English, Spanish",https://ibo.org/school/050423/
H. F. Hunt Middle School,062402,false,true,false,false,MYP,true,"English, Spanish",https://ibo.org/school/062402/
H. H. Dow High School,003052,false,false,true,false,DP,true,English,https://ibo.org/school/003052/
Haha`ione Elementary School,006069,true,false,false,false,PYP,true,English,https://ibo.org/school/006069/
Haines City High School IB East,003282,false,false,true,false,DP,true,English,https://ibo.org/school/003282/
Hamilton Middle School,050149,false,true,false,false,MYP,true,"English, Spanish",https://ibo.org/school/050149/
Hammond Eastside Magnet School,049178,true,true,false,false,"PYP, MYP",true,English,https://ibo.org/school/049178/
Hammond High Magnet School,049224,false,false,true,true,"DP, CP",true,English,https://ibo.org/school/049224/
Hampton High School,001278,false,false,true,false,DP,true,English,https://ibo.org/school/001278/
Handley Elementary School,004983,true,false,false,false,PYP,true,English,https://ibo.org/school/004983/
Hanover High School,001506,false,false,true,false,DP,true,English,https://ibo.org/school/001506/
Hansberry College Prep,049825,false,false,true,false,DP,true,English,https://ibo.org/school/049825/
Harbor High School,061197,false,false,true,false,DP,true,English,https://ibo.org/school/061197/
Harding High School,000729,false,true,true,true,"MYP, DP, CP",true,"English, French",https://ibo.org/school/000729/
Harding University Partnership School,006082,true,false,false,false,PYP,true,English,https://ibo.org/school/006082/
Harlem Village Academies High,050662,false,false,true,false,DP,true,English,https://ibo.org/school/050662/
Harmony Grove Elementary School- A Global Academy,049600,true,false,false,false,PYP,true,"English, Portuguese, Other",https://ibo.org/school/049600/
Harold E. Winkler Middle School,060404,false,true,false,false,MYP,true,"English, Spanish",https://ibo.org/school/060404/
Harriet G. Eddy Middle School,051351,false,true,false,false,MYP,true,English,https://ibo.org/school/051351/
Harriet Tubman Elementary School,051490,true,true,false,false,"PYP, MYP",true,"English, Arabic, Other",https://ibo.org/school/051490/
Harrisburg Academy,002901,true,true,true,false,"PYP, MYP, DP",true,"English, French, Spanish",https://ibo.org/school/002901/
Harrison Avenue Elementary School,062552,true,false,false,false,PYP,true,English,https://ibo.org/school/062552/
Harrison High School,052569,false,true,true,true,"MYP, DP, CP",true,"English, Spanish",https://ibo.org/school/052569/
Harrison High School,006205,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/006205/
Harriton High School,001234,false,false,true,false,DP,true,English,https://ibo.org/school/001234/
Harry Stone Montessori Academy an IB World School-MYP,049791,false,true,false,false,MYP,true,English,https://ibo.org/school/049791/
Hartsfield Magnet School for International Studies,061627,true,false,false,false,PYP,true,"English, Spanish",https://ibo.org/school/061627/
Hartsville High School,003344,false,false,true,false,DP,true,English,https://ibo.org/school/003344/
Harvard Elementary School,004122,true,false,false,false,PYP,true,English,https://ibo.org/school/004122/
Hatikvah International Academy Charter School,007031,false,true,false,false,MYP,true,English,https://ibo.org/school/007031/
Hauppauge High School,006998,false,false,true,false,DP,true,English,https://ibo.org/school/006998/
Hawthorne Elementary IB World School,049018,true,false,false,false,PYP,true,English,https://ibo.org/school/049018/
Hayes Elementary School,004585,true,false,false,false,PYP,true,English,https://ibo.org/school/004585/
Hazel I. Jackson Middle School,062532,false,true,false,false,MYP,true,English,https://ibo.org/school/062532/
Hazel Park Preparatory Academy,049810,true,true,false,false,"PYP, MYP",true,English,https://ibo.org/school/049810/
Headwaters School,049396,false,false,true,false,DP,true,English,https://ibo.org/school/049396/
Heards Ferry Elementary,049955,true,false,false,false,PYP,true,English,https://ibo.org/school/049955/
Hector P. Garcia Middle School,061667,false,true,false,false,MYP,true,English,https://ibo.org/school/061667/
Heights Elementary School,003593,true,false,false,false,PYP,true,English,https://ibo.org/school/003593/
Heights High School (formerly J.H. Reagan HS),006675,false,true,true,true,"MYP, DP, CP",true,English,https://ibo.org/school/006675/
Helen C. Peirce School of International Studies,007106,true,true,false,false,"PYP, MYP",true,English,https://ibo.org/school/007106/
Helen Keller Elementary School,004982,true,false,false,false,PYP,true,English,https://ibo.org/school/004982/
Hellgate High School,006469,false,false,true,false,DP,true,English,https://ibo.org/school/006469/
Henrico High School,000806,false,true,true,true,"MYP, DP, CP",true,English,https://ibo.org/school/000806/
Henry Foss High School,000210,false,true,true,false,"MYP, DP",true,English,https://ibo.org/school/000210/
Henry J. Kaiser High School,003960,false,true,true,true,"MYP, DP, CP",true,English,https://ibo.org/school/003960/
Henry R. Clissold School,002032,false,true,false,false,MYP,true,English,https://ibo.org/school/002032/
Hephzibah Elementary School,060042,true,false,false,false,PYP,true,"English, Spanish",https://ibo.org/school/060042/
Hephzibah High School,060035,false,true,false,false,MYP,true,"English, Spanish",https://ibo.org/school/060035/
Hephzibah Middle School,060108,false,true,false,false,MYP,true,"English, Spanish",https://ibo.org/school/060108/
Herbert A. Ammons Middle School,002526,false,true,false,false,MYP,true,English,https://ibo.org/school/002526/
Heritage High School,062716,false,false,true,false,DP,true,English,https://ibo.org/school/062716/
